"Date Range","Anger","Disgust","Fear","Sadness","Happiness","Love","Surprise","Neutral","Other"
"2021-07-19/2021-07-25","0.08555080817365468","0.07283858753988112","0.0795256209845644","0.09165478531494599","0.16280899369170074","0.028348382939673504","0.22010768547807164","0.1988178591647242","0.060347276712783775"
"2021-07-26/2021-08-01","0.08870348599260805","0.071395702970583","0.04897626984374185","0.06511481673898137","0.15848789752405715","0.03227082827979751","0.25591690188281235","0.2163250795956457","0.06280901717177298"
"2021-08-02/2021-08-08","0.09770659315270082","0.07540317437372743","0.05324566674339186","0.07110193962420534","0.16667019600585545","0.03479855928608753","0.23633063938258786","0.1933045923931037","0.07143863903834"
"2021-08-09/2021-08-15","0.10058839735355586","0.08639742073962307","0.05135964224814296","0.058570348853587056","0.14726112683423564","0.03679109621711824","0.23241321289367584","0.2107824114085516","0.07583634345150966"
"2021-08-16/2021-08-22","0.08356087555647744","0.06798959796737586","0.04203104676778142","0.09588016584393355","0.16887597345788363","0.03402588902967032","0.2722500183295535","0.16747451509570863","0.06791191795161569"
"2021-08-23/2021-08-29","0.08608141061519914","0.07386509829906975","0.05534701077756288","0.06589530853754903","0.1746335749430677","0.030244673474947303","0.2400241223452619","0.2026858517994615","0.07122294920788086"
"2021-08-30/2021-09-05","0.09076969935365299","0.06568187437126939","0.04132853384535737","0.0859521173661461","0.15171508686213578","0.02326591095300702","0.2639896143625283","0.221790702676967","0.05550646020893609"
"2021-09-06/2021-09-12","0.10221953638028909","0.07025765858719478","0.06045913164155636","0.1133231842397066","0.14851726721370562","0.025291165923977864","0.19500073801643003","0.2175199649402481","0.06741135305689157"
"2021-09-13/2021-09-19","0.09388034975031154","0.08363953607449136","0.0634634833284324","0.06404876747570934","0.14053473665497845","0.02626452571125739","0.24072213081381202","0.21735074639811322","0.07009572379289429"
"2021-09-20/2021-09-26","0.07796089986598191","0.08199343983367616","0.052917457374626206","0.06046703232020961","0.14810164951135582","0.03252654240420419","0.2370663944929583","0.23965954787858687","0.06930703631840096"
"2021-09-27/2021-10-03","0.0827644447032962","0.06373195894979339","0.050353016850055","0.051018839761004","0.19222825859425213","0.024477991296695988","0.26409898942576493","0.20910229649578854","0.06222420392334986"
"2021-10-04/2021-10-10","0.10527338536955277","0.08992438817062524","0.0584268903992626","0.08669079496944586","0.15915927297440985","0.031630343431285256","0.200435437135855","0.1978859281279167","0.07057355942164674"
"2021-10-11/2021-10-17","0.1411798333024436","0.14744776133030685","0.04432493737572343","0.09382033923680895","0.07169707862066235","0.04446717265780006","0.1446601136209984","0.18821532227800253","0.12418744157725381"
"2021-10-18/2021-10-24","0.09733140270086355","0.10028376388382981","0.06486156131750109","0.06512551919725043","0.11981499592688867","0.029345685710770706","0.2320494861013345","0.20531072771092873","0.0858768574506325"
"2021-10-25/2021-10-31","0.08130990584367992","0.08623275383715144","0.04710181440049804","0.0675327226361686","0.13962928646592088","0.03411109875013709","0.2709031208089794","0.20034078904686609","0.07283850821059859"
"2021-11-01/2021-11-07","0.0746257747148789","0.09268357371316743","0.058417468235180986","0.05963615375598152","0.17571517174686568","0.029228112472574588","0.23927590670214358","0.20246021770457298","0.06795762095463437"
"2021-11-08/2021-11-14","0.12976008370331302","0.06847349621409402","0.09245482909192164","0.08098793759234385","0.11293300491238006","0.019625497146474116","0.27666700258586746","0.15974958055292166","0.05934856820068417"
"2021-11-15/2021-11-21","0.1127969886051684","0.07808074980395277","0.04784804580880825","0.06625669426032979","0.16281308360648436","0.028991844838841787","0.2537674827785435","0.17547912977779828","0.07396598052007285"
"2021-11-22/2021-11-28","0.05881151178585753","0.08789543725134479","0.04819580140023141","0.06595103428515013","0.15014055646612068","0.04068179727650941","0.2380534074710147","0.23723639118943626","0.07303406287433512"
"2021-11-29/2021-12-05","0.060611751866412655","0.07262217554361125","0.05705927791222429","0.10726372063203975","0.14432176387468398","0.04742098272758892","0.21359962301431293","0.2330997030188423","0.06400100141028389"
"2021-12-06/2021-12-12","0.06817900750744396","0.07331207893230973","0.06305882849080717","0.11811707735606641","0.17463643002654405","0.025331584408048884","0.20465660337770306","0.21002048373265264","0.0626879061684241"
"2021-12-13/2021-12-19","0.09854082822526919","0.07136022751123187","0.08558216961244242","0.12344319750037847","0.12842955322667296","0.0297625097464099","0.2103613004628638","0.18579945221166172","0.06672076150306963"
"2021-12-20/2021-12-26","0.101188022638991","0.08756740181812907","0.07478845118279165","0.07473365878663697","0.15567042760575503","0.04146033034198136","0.19783369434208928","0.18096072791599382","0.08579728536763186"
"2021-12-27/2022-01-02","0.09836163929805862","0.09885325873436539","0.08330794584479917","0.0970810110702772","0.16128378913428848","0.030976373379728785","0.2014375606348405","0.1627213988004849","0.06597702310315694"
